,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
413,Lamar Stevens,CLE,F,24,19,10.6,22.1,13.7,9.5,7,0.571,34,0.382,20,0.4,0.463,0.473,2.8,1.8,9.2,0.3,4.2,0.21,0.21,0.32,4.3,99.2,97.0
414,Isaiah Stewart,DET,F-C,20,24,25.9,53.9,12.8,13.5,29,0.69,135,0.585,12,0.083,0.548,0.566,7.5,8.0,16.7,1.2,7.3,0.42,1.21,1.04,6.4,114.4,102.8
415,Max Strus,MIA,G-F,25,22,20.1,42.0,17.0,7.7,19,0.737,41,0.561,107,0.383,0.571,0.585,8.3,3.0,8.3,1.0,7.1,0.36,0.09,0.59,5.8,113.0,104.1
416,Jalen Suggs,ORL,G,20,21,27.7,57.8,26.3,18.7,76,0.763,155,0.394,102,0.255,0.389,0.444,12.3,3.4,6.5,3.6,20.7,1.14,0.43,3.19,7.7,85.2,106.3
417,Jae'Sean Tate,HOU,F,26,28,28.1,58.5,19.0,15.3,70,0.729,195,0.554,74,0.311,0.53,0.56,12.0,5.9,11.3,3.0,17.3,0.96,0.68,1.93,8.5,110.0,102.2
418,Jayson Tatum,BOS,F-G,23,28,36.3,75.7,32.9,10.2,167,0.808,376,0.476,236,0.339,0.489,0.535,26.2,8.6,12.7,3.6,18.1,0.96,0.75,2.79,10.3,105.1,102.9
419,Garrett Temple,NOP,G-F,35,28,18.5,38.5,13.7,13.3,24,0.792,51,0.412,82,0.378,0.508,0.536,5.5,2.8,8.2,1.0,8.0,0.93,0.54,0.79,5.4,105.6,105.6
420,Daniel Theis,HOU,F-C,29,19,22.3,46.5,16.0,15.0,26,0.731,69,0.638,56,0.286,0.544,0.568,8.2,4.9,11.9,0.8,5.4,0.42,0.58,1.26,5.7,104.1,104.1
421,Brodric Thomas,BOS,G,24,3,1.4,2.8,10.7,100.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.3,13.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
422,Cam Thomas,BKN,G,20,21,14.1,29.4,19.5,5.3,18,0.778,70,0.5,48,0.208,0.424,0.453,5.4,1.7,6.4,0.9,9.3,0.38,0.14,0.33,5.7,95.0,108.5
423,Matt Thomas,CHI,G,27,8,6.1,12.7,17.1,0.0,0,0.0,10,0.3,9,0.222,0.316,0.316,1.5,0.6,5.6,0.0,0.0,0.25,0.13,0.0,0.0,66.7,105.2
424,Tristan Thompson,SAC,C-F,30,21,14.5,30.2,19.7,13.4,50,0.56,101,0.545,0,0.0,0.545,0.561,6.6,5.6,20.3,0.5,5.4,0.33,0.38,0.9,7.3,117.1,102.7
425,JT Thor,CHA,F,19,7,13.6,28.3,11.9,7.5,6,0.5,8,0.625,14,0.214,0.432,0.446,3.1,1.7,6.7,0.9,7.9,0.57,0.43,0.29,4.9,102.2,106.3
426,Matisse Thybulle,PHI,G-F,24,22,24.4,50.8,11.0,16.2,8,0.875,52,0.635,53,0.283,0.529,0.544,5.4,2.1,4.8,1.0,5.7,1.73,1.18,0.95,3.7,98.6,104.7
427,Killian Tillie,MEM,F-C,23,15,10.4,21.6,14.8,9.1,4,0.5,15,0.467,33,0.364,0.521,0.523,3.5,1.3,6.5,0.5,6.1,0.47,0.53,0.33,5.1,108.1,101.5
